Order_ID,Product_ID,Customer_ID,Employee_ID,Date,Quantity,Unit_Price,Discount
O000099,P0017,C00424,E042,2022-05-22,5,73956,0.17
O000100,P0026,C00283,E020,2023-12-07,5,20727,0.11
O000101,P0117,C00298,E042,2024-08-13,5,23715,0.08
O000102,P0072,C01092,E047,2022-05-02,2,44628,0.21
O000103,P0019,C01490,E002,2024-02-23,3,118360,0.24
O000104,P0053,C00622,E029,2024-02-03,3,22917,0.19
O000105,P0014,C00270,E012,2022-01-27,5,83864,0.07
O000106,P0073,C01255,E015,2023-09-03,2,33266,0.17
O000107,P0046,C00163,E045,2024-03-09,4,20575,0.13
O000108,P0078,C00961,E046,2023-10-28,3,27114,0.21
O000109,P0063,C00971,E009,2022-06-17,2,32658,0.01
O000110,P0098,C00031,E060,2022-10-04,4,32170,0.19
O000111,P0026,C00419,E005,2022-07-01,4,116656,0.15
O000112,P0089,C00666,E056,2023-04-14,2,59040,0.1
O000113,P0006,C01246,E048,2024-04-24,4,97398,0.08
O000114,P0079,C01172,E039,2023-07-04,5,87068,0.22
O000115,P0101,C00079,E034,2022-04-22,4,62886,0.21
O000116,P0006,C00504,E034,2023-07-05,4,99360,0.01
O000117,P0050,C01058,E049,2023-10-08,1,27884,0.07
O000118,P0051,C00624,E050,2024-04-27,3,63469,0.04
O000119,P0038,C01256,E059,2022-02-25,5,21643,0.12
O000120,P0083,C00926,E006,2024-01-10,5,17833,0.04
O000121,P0075,C01426,E035,2022-05-19,4,57206,0.08
O000122,P0004,C00367,E030,2023-08-28,2,118677,0.11
O000123,P0033,C00664,E045,2023-10-27,2,97158,0.18
O000124,P0012,C00234,E046,2023-04-06,3,14181,0.13
O000125,P0050,C01489,E051,2024-09-25,5,83225,0.24
O000126,P0049,C01128,E025,2022-02-14,2,46934,0.14
O000127,P0085,C00308,E011,2024-06-08,2,26444,0.19
O000128,P0007,C00860,E020,2022-11-13,4,40851,0.16
O000129,P0016,C00270,E013,2022-01-04,5,103321,0.06
O000130,P0059,C01020,E055,2023-05-26,5,108834,0.0
O000131,P0113,C01011,E016,2022-08-11,5,89438,0.12
O000132,P0053,C00905,E006,2023-09-08,5,3861,0.06
O000133,P0071,C00570,E040,2023-10-06,5,110494,0.21
O000134,P0007,C00379,E010,2022-02-26,3,7813,0.04
O000135,P0005,C01367,E037,2024-05-08,5,42117,0.08
O000136,P0012,C00101,E007,2023-03-03,2,24146,0.17
O000137,P0079,C01354,E045,2023-12-18,5,78010,0.2
O000138,P0023,C00933,E048,2023-08-16,3,7697,0.02
O000139,P0039,C00662,E024,2024-07-08,4,110513,0.02
O000140,P0055,C01128,E005,2022-10-27,4,20635,0.03
O000141,P0111,C00563,E022,2023-06-24,4,71766,0.05
O000142,P0027,C01254,E004,2022-04-22,5,98646,0.24
O000143,P0068,C00180,E031,2024-01-12,5,106308,0.25
O000144,P0037,C00875,E039,2024-05-18,3,37034,0.13
O000145,P0080,C00725,E060,2022-05-13,5,76745,0.12
O000146,P0094,C01295,E032,2023-05-20,2,118823,0.15
O000147,P0091,C00595,E013,2022-01-02,1,6143,0.12
O000148,P0102,C00242,E048,2024-05-18,2,107800,0.15
O000149,P0054,C00848,E003,2022-12-08,3,76454,0.2
O000150,P0028,C00024,E041,2022-07-26,3,36347,0.2
O000151,P0040,C00615,E033,2023-07-18,3,103536,0.0
O000152,P0088,C00683,E022,2023-02-10,5,83739,0.24
O000153,P0107,C00360,E013,2022-12-05,3,91142,0.12
O000154,P0061,C00073,E042,2022-05-20,4,23366,0.16
O000155,P0115,C01100,E058,2022-12-10,4,105759,0.2
O000156,P0119,C00115,E054,2023-06-18,3,77048,0.18
O000157,P0041,C01138,E035,2022-01-20,2,78680,0.17
O000158,P0103,C00725,E005,2024-09-19,2,39760,0.21
O000159,P0044,C00769,E041,2023-07-02,2,77839,0.15
O000160,P0024,C01219,E008,2024-06-04,3,95440,0.21
O000161,P0091,C00065,E018,2023-02-28,1,68149,0.22
O000162,P0048,C00926,E054,2024-08-31,3,31329,0.13
O000163,P0023,C00230,E024,2024-03-14,1,104946,0.05
O000164,P0012,C00909,E033,2022-01-26,4,68543,0.04
O000165,P0044,C00991,E047,2024-06-13,5,43679,0.19
O000166,P0019,C00202,E053,2024-08-18,5,91698,0.25
O000167,P0027,C01484,E003,2023-04-16,4,96543,0.22
O000168,P0015,C00009,E020,2024-08-12,1,93053,0.21
O000169,P0112,C00179,E022,2023-04-24,1,16513,0.13
O000170,P0085,C00640,E002,2023-08-15,3,86735,0.22
O000171,P0042,C00411,E013,2022-10-21,3,72766,0.08
O000172,P0057,C01375,E008,2022-10-07,2,23643,0.07
O000173,P0002,C01276,E036,2023-06-11,1,30076,0.14
O000174,P0071,C00653,E018,2022-05-25,3,78246,0.06
O000175,P0010,C00638,E040,2024-07-02,3,73854,0.11
O000176,P0017,C00060,E031,2024-07-13,1,16884,0.1
O000177,P0012,C00874,E026,2022-07-03,5,119821,0.15
O000178,P0108,C01414,E045,2023-04-02,5,49612,0.08
O000179,P0105,C00406,E046,2024-02-16,5,13295,0.24
O000180,P0097,C00954,E037,2022-05-15,1,109542,0.2
O000181,P0090,C00960,E007,2023-04-12,3,92715,0.16
O000182,P0099,C00954,E031,2022-08-26,2,21837,0.22
O000183,P0079,C00529,E059,2023-01-08,4,27032,0.17
O000184,P0086,C00677,E051,2024-05-31,3,62412,0.12
O000185,P0009,C00974,E008,2022-12-26,4,63455,0.21
O000186,P0037,C00714,E039,2023-08-12,2,69577,0.03
O000187,P0105,C01463,E051,2022-04-20,3,75895,0.16
O000188,P0102,C00619,E035,2023-04-18,4,80402,0.1
O000189,P0080,C00500,E036,2022-06-12,4,53307,0.02
O000190,P0027,C01422,E038,2023-03-18,4,77345,0.2
O000191,P0070,C01422,E016,2022-06-27,1,99910,0.23
O000192,P0074,C00997,E008,2023-08-30,5,63674,0.08
O000193,P0013,C00912,E012,2022-11-12,4,12123,0.15
O000194,P0088,C01222,E050,2024-04-19,4,45914,0.12
O000195,P0085,C00126,E006,2022-08-11,2,119295,0.15
O000196,P0097,C01303,E052,2022-01-01,2,89623,0.04
O000197,P0069,C00597,E025,2023-09-23,5,61610,0.05
O000198,P0088,C00649,E020,2023-08-07,3,59980,0.18
O000199,P0118,C00706,E006,2023-08-20,1,83149,0.25
O000200,P0052,C00262,E055,2022-10-29,1,51394,0.23
O000201,P0007,C00002,E046,2023-07-28,3,17378,0.22
O000202,P0111,C00064,E016,2023-03-19,5,54677,0.16
O000203,P0092,C00784,E026,2023-01-26,4,74449,0.05
O000204,P0023,C00973,E009,2022-07-12,5,53409,0.21
O000205,P0047,C00855,E010,2022-10-23,2,20600,0.0
O000206,P0083,C00033,E010,2024-01-09,4,89235,0.11
O000207,P0018,C00174,E009,2023-10-20,4,115741,0.11
O000208,P0101,C01425,E039,2024-08-10,4,84690,0.04
O000209,P0066,C00869,E036,2024-04-19,4,53425,0.09
O000210,P0024,C00870,E039,2022-01-08,5,68294,0.21
O000211,P0031,C01459,E033,2022-10-03,4,74587,0.14
O000212,P0005,C00078,E037,2023-05-10,3,17832,0.15
O000213,P0089,C00164,E010,2024-01-18,5,115636,0.25
O000214,P0100,C00573,E030,2023-06-14,1,71597,0.22
O000215,P0012,C00503,E031,2023-10-08,1,92662,0.16
O000216,P0103,C01188,E020,2023-09-20,1,48029,0.13
O000217,P0002,C00961,E030,2023-06-09,4,78230,0.18
O000218,P0054,C00723,E052,2022-10-29,3,24955,0.01
O000219,P0119,C01224,E048,2022-11-08,5,37136,0.02
O000220,P0061,C01185,E011,2023-08-10,1,89025,0.25
O000221,P0104,C01279,E002,2022-10-21,4,13814,0.03
O000222,P0010,C00570,E017,2022-05-16,5,39827,0.07
O000223,P0033,C00030,E048,2022-04-25,5,25886,0.23
O000224,P0095,C00310,E043,2023-04-03,3,108885,0.04
O000225,P0101,C01436,E016,2023-05-12,2,107775,0.13
O000226,P0005,C00703,E006,2024-09-17,2,81059,0.23
O000227,P0020,C01016,E049,2023-02-27,4,34188,0.17
O000228,P0093,C01306,E011,2022-08-04,5,99254,0.21
O000229,P0007,C01316,E017,2024-02-13,1,9884,0.04
O000230,P0052,C00976,E020,2023-05-03,5,33626,0.09
O000231,P0091,C00799,E031,2022-09-26,2,72526,0.22
O000232,P0002,C00592,E060,2024-03-27,4,53070,0.17
O000233,P0068,C01399,E003,2022-04-10,5,86548,0.09
O000234,P0109,C00885,E040,2024-07-29,3,46904,0.07
O000235,P0103,C00202,E017,2023-11-02,5,54269,0.12
O000236,P0087,C00496,E047,2023-11-20,5,103990,0.05
O000237,P0044,C01388,E045,2022-07-04,3,74776,0.0
O000238,P0002,C00140,E001,2023-02-26,1,71847,0.03
O000239,P0058,C00720,E015,2024-01-13,3,36016,0.05
O000240,P0004,C01269,E006,2022-02-28,5,89062,0.22
O000241,P0028,C01228,E041,2022-05-05,1,14322,0.21
O000242,P0017,C00770,E043,2024-02-22,5,108277,0.24
O000243,P0115,C00228,E045,2022-07-08,3,41609,0.12
O000244,P0120,C00156,E041,2023-04-10,3,103841,0.11
O000245,P0116,C01368,E050,2024-02-28,3,36729,0.04
O000246,P0010,C00568,E050,2022-03-05,4,53933,0.08
O000247,P0008,C00529,E053,2022-09-29,2,60747,0.02
O000248,P0119,C00411,E040,2023-02-07,2,87604,0.12
O000249,P0019,C01108,E050,2023-03-18,2,83473,0.16
O000250,P0117,C00905,E046,2022-09-23,1,7569,0.02
O000251,P0074,C01491,E017,2024-03-06,4,5459,0.22
O000252,P0020,C01338,E041,2022-01-01,1,90111,0.1
O000253,P0020,C01434,E022,2024-07-15,4,78319,0.0
O000254,P0091,C01005,E031,2023-03-23,4,113631,0.18
O000255,P0104,C00144,E035,2022-08-20,1,53387,0.24
O000256,P0105,C00988,E008,2023-08-04,5,50044,0.08
O000257,P0039,C00821,E004,2023-10-10,1,50887,0.13
O000258,P0044,C00165,E054,2023-04-16,3,87907,0.05
O000259,P0071,C00081,E025,2023-11-08,2,42173,0.17
O000260,P0115,C00219,E041,2023-12-07,3,66766,0.02
O000261,P0081,C00897,E048,2022-07-14,2,7679,0.05
O000262,P0093,C01215,E016,2023-05-16,4,11256,0.2
O000263,P0083,C00631,E032,2023-07-01,4,5151,0.01
O000264,P0008,C00692,E051,2024-01-09,1,56150,0.03
O000265,P0104,C01340,E043,2023-06-20,4,91877,0.22
O000266,P0069,C00306,E048,2023-08-17,2,12441,0.01
O000267,P0019,C01002,E042,2022-01-20,4,84051,0.01
O000268,P0090,C01329,E009,2022-01-15,2,85924,0.01
O000269,P0040,C00200,E030,2023-09-18,2,112491,0.15
O000270,P0105,C00218,E008,2023-05-25,5,107749,0.15
O000271,P0009,C00416,E028,2022-12-12,4,45498,0.03
O000272,P0088,C01180,E035,2022-05-21,3,112632,0.24
O000273,P0028,C00094,E038,2022-06-27,3,11286,0.03
O000274,P0019,C00851,E011,2023-12-15,3,75536,0.04
O000275,P0032,C01192,E003,2022-05-17,1,106684,0.21
O000276,P0079,C00771,E050,2022-06-11,1,118294,0.12
O000277,P0001,C00015,E012,2024-08-06,1,95633,0.16
O000278,P0114,C00582,E027,2023-12-12,4,93748,0.03
O000279,P0019,C01311,E018,2023-06-20,4,57005,0.06
O000280,P0023,C01251,E045,2022-02-08,5,26593,0.18
O000281,P0079,C00181,E041,2024-04-26,3,48593,0.1
O000282,P0072,C00483,E013,2022-05-01,5,15541,0.15
O000283,P0111,C01106,E033,2022-08-13,4,103968,0.16
O000284,P0027,C00567,E004,2022-07-18,1,107413,0.04
O000285,P0109,C00972,E032,2022-06-30,2,90836,0.23
O000286,P0007,C01321,E024,2022-10-19,2,59973,0.06
O000287,P0079,C00929,E003,2022-04-17,1,73432,0.04
O000288,P0101,C00060,E032,2023-06-12,1,12287,0.22
O000289,P0093,C00911,E038,2023-08-17,3,57927,0.05
O000290,P0087,C00668,E015,2024-03-08,1,45746,0.06
O000291,P0031,C00845,E056,2022-07-24,4,119833,0.06
O000292,P0061,C01199,E032,2022-02-25,4,21997,0.05
O000293,P0079,C00932,E012,2023-02-01,3,20878,0.11
O000294,P0025,C01295,E023,2024-09-25,3,29504,0.08
O000295,P0005,C01418,E037,2022-03-03,3,20891,0.03
O000296,P0060,C00940,E027,2022-06-25,3,31816,0.22
O000297,P0078,C00322,E051,2024-03-24,5,25273,0.14
O000298,P0071,C00471,E006,2023-02-26,5,67122,0.22
O000299,P0028,C01212,E031,2024-05-07,4,39591,0.0
O000300,P0055,C00506,E016,2022-12-02,4,78951,0.06
O000301,P0119,C01212,E010,2024-07-24,5,3665,0.1
O000302,P0006,C00083,E031,2024-01-22,5,7406,0.11
O000303,P0051,C00982,E052,2024-03-28,1,62302,0.12
O000304,P0011,C01144,E049,2022-01-13,4,31574,0.03
O000305,P0038,C00490,E042,2022-04-03,1,65886,0.17
O000306,P0021,C01441,E030,2024-05-28,5,100948,0.15
O000307,P0059,C00950,E050,2022-05-22,4,27241,0.2
O000308,P0048,C01284,E030,2023-12-22,1,115772,0.16
O000309,P0050,C01415,E022,2023-06-28,1,41874,0.11
O000310,P0035,C01430,E040,2023-07-10,5,107133,0.05
O000311,P0088,C00166,E040,2024-06-20,3,99437,0.23
O000312,P0066,C01382,E024,2024-06-28,1,17544,0.1
O000313,P0060,C01268,E003,2023-01-10,3,25972,0.16
O000314,P0091,C00138,E036,2023-12-28,2,21141,0.25
O000315,P0031,C01106,E008,2023-10-27,4,99649,0.23
O000316,P0075,C01440,E014,2024-02-11,2,45003,0.09
O000317,P0035,C01032,E044,2023-03-10,3,10138,0.02
O000318,P0045,C00927,E032,2023-05-29,5,111732,0.03
O000319,P0091,C01090,E044,2024-04-25,5,41307,0.11
O000320,P0048,C01379,E045,2024-04-08,1,27687,0.22
O000321,P0059,C00179,E006,2023-02-05,2,40797,0.24
O000322,P0010,C00224,E011,2022-10-10,1,94367,0.04
O000323,P0020,C00419,E034,2024-09-01,1,41426,0.1
O000324,P0088,C01109,E060,2022-05-16,4,48442,0.11
O000325,P0095,C01321,E002,2022-10-26,2,11250,0.01
O000326,P0103,C00476,E054,2024-08-28,5,87498,0.08
O000327,P0075,C00703,E042,2023-10-24,3,66720,0.15
O000328,P0090,C01086,E054,2023-07-16,4,63031,0.08
O000329,P0017,C00628,E011,2024-03-19,3,32724,0.12
O000330,P0037,C00097,E010,2022-12-28,3,62759,0.24
O000331,P0080,C00330,E046,2023-07-03,3,26891,0.24
O000332,P0108,C01451,E045,2024-07-15,2,24135,0.06
O000333,P0006,C00649,E037,2022-05-10,4,37132,0.09
O000334,P0027,C01152,E046,2022-02-05,3,48068,0.04
O000335,P0058,C01106,E011,2023-07-01,3,18923,0.23
O000336,P0052,C01023,E050,2022-05-29,4,44971,0.04
O000337,P0095,C01119,E033,2022-12-06,3,65116,0.22
O000338,P0097,C01175,E043,2022-05-31,5,98491,0.23
O000339,P0057,C00694,E045,2022-04-26,4,8253,0.03
O000340,P0071,C00240,E020,2022-01-26,4,83939,0.21
O000341,P0058,C00732,E006,2022-12-01,1,82711,0.16
O000342,P0075,C01079,E015,2024-03-11,3,28652,0.01
O000343,P0069,C00913,E044,2023-11-19,1,70081,0.1
O000344,P0063,C00651,E039,2023-09-12,5,10346,0.23
O000345,P0047,C00815,E010,2024-01-04,4,51448,0.1
O000346,P0002,C00583,E023,2022-12-26,3,61402,0.22
O000347,P0012,C00442,E047,2024-06-28,4,100193,0.25
O000348,P0103,C00907,E019,2022-06-17,4,98499,0.22
O000349,P0018,C01203,E039,2022-03-30,2,30234,0.08
O000350,P0112,C01076,E022,2022-03-09,5,102105,0.09
O000351,P0001,C00839,E041,2024-07-25,3,57331,0.04
O000352,P0060,C01455,E037,2024-02-13,2,29117,0.05
O000353,P0049,C00593,E036,2023-05-18,1,110845,0.21
O000354,P0107,C01199,E020,2023-05-21,5,99974,0.12
O000355,P0004,C00006,E010,2022-09-26,3,86958,0.21
O000356,P0061,C00255,E042,2023-11-13,3,57677,0.04
O000357,P0117,C01409,E042,2022-09-08,1,18644,0.19
O000358,P0064,C00137,E039,2024-02-03,3,79161,0.12
O000359,P0056,C00529,E041,2023-12-04,4,93996,0.2
O000360,P0048,C01050,E047,2023-08-13,1,113792,0.06
O000361,P0075,C00120,E010,2022-11-24,4,118122,0.17
O000362,P0046,C00335,E004,2022-10-07,3,57986,0.16
O000363,P0046,C00100,E019,2022-10-26,5,86747,0.23
O000364,P0066,C00397,E050,2023-10-06,2,103229,0.02
O000365,P0097,C00343,E035,2022-11-27,3,111373,0.21
O000366,P0103,C00617,E018,2023-12-03,3,15561,0.13
O000367,P0046,C00295,E001,2022-05-21,5,39885,0.09
O000368,P0063,C00844,E022,2024-08-01,2,16424,0.05
O000369,P0065,C00453,E054,2022-07-12,5,83403,0.17
O000370,P0068,C01090,E046,2023-07-19,1,57702,0.12
O000371,P0010,C00239,E053,2022-05-15,1,65851,0.09
O000372,P0089,C00743,E009,2024-04-16,4,119618,0.25
O000373,P0067,C00701,E012,2023-12-28,3,6769,0.19
O000374,P0016,C00456,E009,2024-05-27,2,93183,0.06
O000375,P0017,C00430,E009,2022-03-22,4,93546,0.19
O000376,P0015,C00160,E002,2024-03-04,4,102265,0.11
O000377,P0026,C00221,E003,2024-03-23,5,80748,0.01
O000378,P0016,C00519,E003,2022-03-09,3,90501,0.0
O000379,P0013,C00254,E059,2023-09-09,2,80018,0.23
O000380,P0024,C01374,E023,2022-01-30,1,22078,0.21
O000381,P0036,C01188,E023,2022-12-27,2,115084,0.13
O000382,P0094,C01256,E016,2023-06-02,5,11957,0.02
O000383,P0075,C00029,E034,2022-08-11,2,39943,0.04
O000384,P0097,C01101,E001,2024-09-23,1,31051,0.23
O000385,P0109,C01450,E031,2023-01-11,5,27264,0.11
O000386,P0014,C00371,E054,2022-12-30,4,58586,0.05
O000387,P0030,C00835,E008,2024-02-19,3,19202,0.12
O000388,P0067,C00279,E032,2024-02-20,3,95370,0.07
O000389,P0093,C00084,E006,2022-12-02,4,18167,0.1
O000390,P0059,C01230,E048,2022-11-16,4,32605,0.14
O000391,P0038,C00877,E013,2024-05-27,1,113239,0.2
O000392,P0087,C00753,E012,2022-01-14,4,91092,0.03
O000393,P0057,C01071,E043,2023-11-24,1,18626,0.04
O000394,P0052,C01424,E038,2022-04-15,2,11481,0.09
O000395,P0026,C00694,E013,2023-09-02,4,19090,0.06
O000396,P0055,C01486,E032,2022-10-13,5,80810,0.07
O000397,P0102,C01319,E026,2022-12-31,4,90382,0.15
O000398,P0052,C00993,E033,2022-10-13,2,103663,0.11
O000399,P0016,C00514,E032,2023-05-25,2,85361,0.24
O000400,P0004,C00204,E048,2022-02-24,1,68291,0.17
O000401,P0023,C00784,E039,2023-11-27,3,23019,0.08
O000402,P0080,C00198,E049,2022-03-20,5,103607,0.12
O000403,P0060,C00414,E019,2023-11-09,4,67258,0.13
O000404,P0070,C00704,E052,2024-05-30,5,74646,0.0
O000405,P0098,C00065,E028,2024-06-20,1,53283,0.11
O000406,P0110,C00771,E029,2023-04-16,1,7306,0.04
O000407,P0085,C00621,E057,2023-12-25,2,67419,0.11
O000408,P0040,C01466,E025,2023-05-15,1,77560,0.17
O000409,P0085,C01135,E044,2023-07-07,5,64580,0.12
O000410,P0110,C00321,E033,2022-02-27,4,37523,0.12
O000411,P0049,C01264,E044,2022-12-28,3,45006,0.02
O000412,P0076,C00093,E009,2024-05-07,3,48727,0.2
O000413,P0075,C00056,E049,2024-07-01,3,52882,0.02
O000414,P0045,C00732,E027,2022-12-26,1,89670,0.06
O000415,P0031,C01328,E020,2023-08-30,1,93176,0.02
O000416,P0040,C00235,E022,2022-06-23,1,73571,0.08
O000417,P0059,C01348,E056,2023-03-09,5,70470,0.23
O000418,P0035,C00042,E045,2023-04-26,5,5914,0.25
O000419,P0049,C01169,E025,2022-11-27,5,15809,0.2
O000420,P0013,C01415,E044,2022-07-30,3,68107,0.13
O000421,P0098,C01367,E022,2022-06-20,5,42258,0.09
O000422,P0056,C00414,E032,2023-10-13,1,113150,0.21
O000423,P0028,C00589,E017,2022-02-18,3,78172,0.1
O000424,P0029,C01280,E048,2024-09-07,1,97071,0.21
O000425,P0013,C01213,E022,2022-10-07,1,77242,0.2
O000426,P0061,C00875,E014,2022-12-22,1,88398,0.21
O000427,P0065,C00615,E028,2023-11-11,5,44071,0.05
O000428,P0052,C00515,E040,2023-06-12,4,91022,0.19
O000429,P0024,C00039,E041,2023-12-22,5,116077,0.05
O000430,P0064,C00437,E043,2024-09-12,4,38118,0.23
O000431,P0069,C01259,E055,2024-02-27,4,77202,0.18
O000432,P0008,C01070,E013,2023-01-09,4,22365,0.06
O000433,P0096,C01404,E049,2022-11-04,4,56773,0.08
O000434,P0107,C00132,E041,2022-07-28,4,37987,0.21
O000435,P0083,C00329,E017,2023-12-05,5,33950,0.1
O000436,P0015,C00308,E013,2022-01-29,2,107470,0.21
O000437,P0060,C00995,E036,2023-03-23,4,87793,0.23
O000438,P0026,C00327,E018,2022-05-20,1,36868,0.2
O000439,P0036,C01349,E036,2022-06-30,1,97696,0.12
O000440,P0003,C00114,E056,2024-07-07,1,44144,0.15
O000441,P0111,C00131,E058,2024-09-05,4,50636,0.17
O000442,P0114,C00185,E026,2024-08-23,2,33938,0.03
O000443,P0095,C01025,E060,2022-05-04,5,90060,0.21
O000444,P0100,C01076,E017,2023-05-24,1,34205,0.15
O000445,P0099,C00642,E022,2024-05-02,5,99631,0.1
O000446,P0096,C00484,E060,2023-03-10,2,21910,0.03
O000447,P0028,C00563,E029,2023-02-23,3,116102,0.15
O000448,P0063,C01093,E024,2023-12-18,1,44482,0.14
